Accession,Release_Date,Species,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Geo_Location,USA,Host,Isolation_Source,Collection_Date
NC_045512,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29903,RefSeq,complete,,China,,Homo sapiens,,2019-12
MW595907,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29793,GenBank,complete,,Egypt,,Homo sapiens,oronasopharynx,2021-01-03
MW595908,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29855,GenBank,complete,,Mexico,,Homo sapiens,oronasopharynx,2020-09-21
MW595909,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29866,GenBank,complete,,Mexico,,Homo sapiens,oronasopharynx,2020-08-18
MW595911,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29782,GenBank,complete,,India: Ahmedabad,,Homo sapiens,,2020-12-03
MW595912,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29782,GenBank,complete,,India: Ahmedabad,,Homo sapiens,,2020-11-10
MW595914,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29782,GenBank,complete,,India: Ahmedabad,,Homo sapiens,,2020-11-10
MW595915,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29782,GenBank,complete,,India: Ahmedabad,,Homo sapiens,,2020-11-10
MW595916,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29782,GenBank,complete,,India: Ahmedabad,,Homo sapiens,,2020-11-10
MW595918,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29782,GenBank,complete,,India: Ahmedabad,,Homo sapiens,,2020-11-24
MW595919,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29782,GenBank,complete,,India: Anand,,Homo sapiens,,2020-12-22
MW595923,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29782,GenBank,complete,,India: Anand,,Homo sapiens,,2020-12-22
MW595948,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29782,GenBank,complete,,India: Ahmedabad,,Homo sapiens,,2020-11-10
MW595950,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29782,GenBank,complete,,India: Vadodara,,Homo sapiens,,2020-12-23
MW595982,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29782,GenBank,complete,,India: Vadodara,,Homo sapiens,,2020-12-23
MW595991,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29782,GenBank,complete,,India: Ahmedabad,,Homo sapiens,,2020-12-24
MW595997,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29782,GenBank,complete,,India: Ahmedabad,,Homo sapiens,,2020-12-24
MW595999,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29782,GenBank,complete,,India: Ahmedabad,,Homo sapiens,,2020-12-24
MW596004,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29881,GenBank,complete,,USA: Georgia,GA,Homo sapiens,oronasopharynx,2021-01-30
MW596005,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29881,GenBank,complete,,USA: Texas,TX,Homo sapiens,oronasopharynx,2021-01-30
MW596006,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29885,GenBank,complete,,USA: Pennsylvania,PA,Homo sapiens,oronasopharynx,2021-01-28
MW596007,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29857,GenBank,complete,,USA: Arizona,AZ,Homo sapiens,oronasopharynx,2021-01-29
MW596008,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29855,GenBank,complete,,USA: Arizona,AZ,Homo sapiens,oronasopharynx,2021-01-29
MW596009,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29881,GenBank,complete,,USA: Arizona,AZ,Homo sapiens,oronasopharynx,2021-01-29
MW596010,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29873,GenBank,complete,,USA: Indiana,IN,Homo sapiens,oronasopharynx,2021-01-29
MW596011,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29881,GenBank,complete,,USA: Arizona,AZ,Homo sapiens,oronasopharynx,2021-01-29
MW596012,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29858,GenBank,complete,,USA: Florida,FL,Homo sapiens,oronasopharynx,2021-01-29
MW596013,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29857,GenBank,complete,,USA: Texas,TX,Homo sapiens,oronasopharynx,2021-01-29
MW596014,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29828,GenBank,complete,,USA: Massachusetts,MA,Homo sapiens,oronasopharynx,2021-01-28
MW596015,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29873,GenBank,complete,,USA: New Jersey,NJ,Homo sapiens,oronasopharynx,2021-01-29
MW596016,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29864,GenBank,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2021-01-30
MW596017,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29852,GenBank,complete,,USA: Florida,FL,Homo sapiens,oronasopharynx,2021-01-29
MW596018,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29855,GenBank,complete,,USA: Arizona,AZ,Homo sapiens,oronasopharynx,2021-01-29
MW596019,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29864,GenBank,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2021-01-29
MW596020,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29847,GenBank,complete,,USA: Colorado,CO,Homo sapiens,oronasopharynx,2021-01-29
MW596021,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29874,GenBank,complete,,USA: South Carolina,SC,Homo sapiens,oronasopharynx,2021-01-29
MW596022,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29853,GenBank,complete,,USA: Pennsylvania,PA,Homo sapiens,oronasopharynx,2021-01-29
MW596023,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29880,GenBank,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2021-01-29
MW596024,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29853,GenBank,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2021-01-29
MW596025,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29855,GenBank,complete,,USA: Arizona,AZ,Homo sapiens,oronasopharynx,2021-01-30
MW596026,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29855,GenBank,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2021-01-29
MW596027,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29880,GenBank,complete,,USA: Utah,UT,Homo sapiens,oronasopharynx,2021-01-29
MW596028,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29876,GenBank,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2021-01-29
MW596029,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29874,GenBank,complete,,USA: Texas,TX,Homo sapiens,oronasopharynx,2021-01-29
MW596030,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29873,GenBank,complete,,USA: Arizona,AZ,Homo sapiens,oronasopharynx,2021-01-30
MW596031,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29820,GenBank,complete,,USA: Tennessee,TN,Homo sapiens,oronasopharynx,2021-01-30
MW596032,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29855,GenBank,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2021-01-30
MW596033,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29879,GenBank,complete,,USA: Arizona,AZ,Homo sapiens,oronasopharynx,2021-01-29
MW596034,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29859,GenBank,complete,,USA: Texas,TX,Homo sapiens,oronasopharynx,2021-01-29
MW596035,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29835,GenBank,complete,,USA: West Virginia,WV,Homo sapiens,oronasopharynx,2021-01-28
MW596036,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29850,GenBank,complete,,USA: Florida,FL,Homo sapiens,oronasopharynx,2021-01-29
MW596037,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29882,GenBank,complete,,USA: Louisiana,LA,Homo sapiens,oronasopharynx,2021-01-28
MW596038,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29849,GenBank,complete,,USA: Michigan,MI,Homo sapiens,oronasopharynx,2021-01-28
MW596039,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29878,GenBank,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2021-01-30
MW596040,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29869,GenBank,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2021-01-28
MW596041,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29849,GenBank,complete,,USA: Florida,FL,Homo sapiens,oronasopharynx,2021-01-29
MW596042,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29823,GenBank,complete,,USA: North Carolina,NC,Homo sapiens,oronasopharynx,2021-01-29
MW596043,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29854,GenBank,complete,,USA: Kentucky,KY,Homo sapiens,oronasopharynx,2021-01-27
MW596044,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29855,GenBank,complete,,USA: Texas,TX,Homo sapiens,oronasopharynx,2021-01-29
MW596045,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29859,GenBank,complete,,USA: Florida,FL,Homo sapiens,oronasopharynx,2021-01-28
MW596046,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29859,GenBank,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2021-01-29
MW596047,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29885,GenBank,complete,,USA: Ohio,OH,Homo sapiens,oronasopharynx,2021-01-30
MW596048,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29848,GenBank,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2021-01-30
MW596049,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29882,GenBank,complete,,USA: Indiana,IN,Homo sapiens,oronasopharynx,2021-01-29
MW596050,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29854,GenBank,complete,,USA: Florida,FL,Homo sapiens,oronasopharynx,2021-01-29
MW596051,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29868,GenBank,complete,,USA: Alabama,AL,Homo sapiens,oronasopharynx,2021-01-29
MW596052,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29855,GenBank,complete,,USA: Georgia,GA,Homo sapiens,oronasopharynx,2021-01-29
MW596053,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29858,GenBank,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2021-01-30
MW596054,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29878,GenBank,complete,,USA: Indiana,IN,Homo sapiens,oronasopharynx,2021-01-30
MW596055,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29847,GenBank,complete,,USA: Illinois,IL,Homo sapiens,oronasopharynx,2021-01-30
MW596056,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29829,GenBank,complete,,USA: Pennsylvania,PA,Homo sapiens,oronasopharynx,2021-01-29
MW596057,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29881,GenBank,complete,,USA: New York,NY,Homo sapiens,oronasopharynx,2021-01-29
MW596058,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29857,GenBank,complete,,USA: Illinois,IL,Homo sapiens,oronasopharynx,2021-01-29
MW596059,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29855,GenBank,complete,,USA: Florida,FL,Homo sapiens,oronasopharynx,2021-01-29
MW596060,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29828,GenBank,complete,,USA: Mississippi,MS,Homo sapiens,oronasopharynx,2021-01-29
MW596061,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29856,GenBank,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2021-01-30
MW596062,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29855,GenBank,complete,,USA: Pennsylvania,PA,Homo sapiens,oronasopharynx,2021-01-29
MW596063,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29864,GenBank,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2021-01-30
MW596064,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29868,GenBank,complete,,USA: Kentucky,KY,Homo sapiens,oronasopharynx,2021-01-30
MW596065,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29856,GenBank,complete,,USA: Pennsylvania,PA,Homo sapiens,oronasopharynx,2021-01-28
MW596066,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29855,GenBank,complete,,USA: Indiana,IN,Homo sapiens,oronasopharynx,2021-01-29
MW596068,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29856,GenBank,complete,,USA: Texas,TX,Homo sapiens,oronasopharynx,2021-01-29
MW596069,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29878,GenBank,complete,,USA: Illinois,IL,Homo sapiens,oronasopharynx,2021-01-29
MW596070,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29871,GenBank,complete,,USA: Florida,FL,Homo sapiens,oronasopharynx,2021-01-29
MW596071,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29862,GenBank,complete,,USA: New York,NY,Homo sapiens,oronasopharynx,2021-01-07
MW596072,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29823,GenBank,complete,,USA: Massachusetts,MA,Homo sapiens,oronasopharynx,2021-01-08
MW596073,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29850,GenBank,complete,,USA: Massachusetts,MA,Homo sapiens,oronasopharynx,2021-01-07
MW596075,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29849,GenBank,complete,,USA: Florida,FL,Homo sapiens,oronasopharynx,2021-01-08
MW596076,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29850,GenBank,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2021-01-09
MW596077,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29873,GenBank,complete,,USA: Florida,FL,Homo sapiens,oronasopharynx,2021-01-08
MW596078,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29879,GenBank,complete,,USA: Arizona,AZ,Homo sapiens,oronasopharynx,2021-01-08
MW596080,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29848,GenBank,complete,,USA: Florida,FL,Homo sapiens,oronasopharynx,2021-01-08
MW596083,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29859,GenBank,complete,,USA: Oklahoma,OK,Homo sapiens,oronasopharynx,2021-01-08
MW596084,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29848,GenBank,complete,,USA: Georgia,GA,Homo sapiens,oronasopharynx,2021-01-07
MW596086,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29863,GenBank,complete,,USA: Ohio,OH,Homo sapiens,oronasopharynx,2021-01-09
MW596087,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29865,GenBank,complete,,USA: New Jersey,NJ,Homo sapiens,oronasopharynx,2021-01-08
MW596089,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29841,GenBank,complete,,USA: Tennessee,TN,Homo sapiens,oronasopharynx,2021-01-07
MW596090,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29830,GenBank,complete,,USA: Florida,FL,Homo sapiens,oronasopharynx,2021-01-07
MW596091,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29854,GenBank,complete,,USA: Florida,FL,Homo sapiens,oronasopharynx,2021-01-08
MW596092,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29852,GenBank,complete,,USA: Florida,FL,Homo sapiens,oronasopharynx,2021-01-08
